m,n,rounding,overflow,acc,total_bits,format
2.0,2.0,nearest,wrap,97.9,5.0,TI
2.0,2.0,ceil,saturate,9.8,5.0,TI
2.0,2.0,ceil,wrap,9.8,5.0,TI
2.0,2.0,floor,saturate,9.8,5.0,TI
2.0,2.0,floor,wrap,9.8,5.0,TI
2.0,2.0,trunc,saturate,44.63,5.0,TI
2.0,2.0,trunc,wrap,45.11,5.0,TI
2.0,2.0,stochastic,saturate,10.88,5.0,TI
2.0,2.0,stochastic,wrap,10.85,5.0,TI
2.0,3.0,nearest,saturate,98.28,6.0,TI
2.0,3.0,nearest,wrap,98.34,6.0,TI
2.0,3.0,ceil,saturate,20.09,6.0,TI
2.0,3.0,ceil,wrap,20.06,6.0,TI
2.0,3.0,floor,saturate,9.73,6.0,TI
2.0,3.0,floor,wrap,9.74,6.0,TI
2.0,3.0,trunc,saturate,96.83,6.0,TI
2.0,3.0,trunc,wrap,96.98,6.0,TI
2.0,3.0,stochastic,saturate,38.62,6.0,TI
2.0,3.0,stochastic,wrap,40.04,6.0,TI
2.0,4.0,nearest,saturate,98.44,7.0,TI
2.0,4.0,nearest,wrap,98.47,7.0,TI
2.0,4.0,ceil,saturate,33.26,7.0,TI
2.0,4.0,ceil,wrap,33.15,7.0,TI
2.0,4.0,floor,saturate,27.67,7.0,TI
2.0,4.0,floor,wrap,27.68,7.0,TI
2.0,4.0,trunc,saturate,98.49,7.0,TI
2.0,4.0,trunc,wrap,98.52,7.0,TI
2.0,4.0,stochastic,saturate,90.06,7.0,TI
2.0,4.0,stochastic,wrap,91.73,7.0,TI
2.0,5.0,nearest,saturate,98.51,8.0,TI
2.0,5.0,nearest,wrap,98.59,8.0,TI
2.0,5.0,ceil,saturate,87.1,8.0,TI
2.0,5.0,ceil,wrap,87.17,8.0,TI
2.0,5.0,floor,saturate,88.64,8.0,TI
2.0,5.0,floor,wrap,88.5,8.0,TI
2.0,5.0,trunc,saturate,98.63,8.0,TI
2.0,5.0,trunc,wrap,98.6,8.0,TI
2.0,5.0,stochastic,saturate,97.76,8.0,TI
2.0,5.0,stochastic,wrap,97.82,8.0,TI
