experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,1,2,stochastic,wrap,10.23,4
mem_only,,,1,2,floor,saturate,98.49,4
mem_only,,,1,2,floor,wrap,10.75,4
mem_only,,,1,2,ceil,saturate,98.55,4
mem_only,,,1,2,ceil,wrap,9.97,4
mem_only,,,1,2,trunc,saturate,98.52,4
mem_only,,,1,2,trunc,wrap,9.96,4
mem_only,,,1,3,nearest,saturate,98.58,5
mem_only,,,1,3,nearest,wrap,9.86,5
mem_only,,,1,3,stochastic,saturate,98.53,5
mem_only,,,1,3,stochastic,wrap,10.29,5
mem_only,,,1,3,floor,saturate,98.5,5
mem_only,,,1,3,floor,wrap,10.65,5
mem_only,,,1,3,ceil,saturate,98.5,5
mem_only,,,1,3,ceil,wrap,10.13,5
mem_only,,,1,3,trunc,saturate,98.59,5
mem_only,,,1,3,trunc,wrap,9.73,5
mem_only,,,2,0,nearest,saturate,98.53,3
mem_only,,,2,0,nearest,wrap,8.96,3
mem_only,,,2,0,stochastic,saturate,98.49,3
mem_only,,,2,0,stochastic,wrap,8.9,3
mem_only,,,2,0,floor,saturate,98.32,3
mem_only,,,2,0,floor,wrap,9.28,3
mem_only,,,2,0,ceil,saturate,98.13,3
mem_only,,,2,0,ceil,wrap,8.1,3
mem_only,,,2,0,trunc,saturate,98.31,3
mem_only,,,2,0,trunc,wrap,12.04,3
mem_only,,,2,1,nearest,saturate,98.5,4
mem_only,,,2,1,nearest,wrap,9.69,4
mem_only,,,2,1,stochastic,saturate,98.57,4
mem_only,,,2,1,stochastic,wrap,9.18,4
mem_only,,,2,1,floor,saturate,98.39,4
mem_only,,,2,1,floor,wrap,9.15,4
mem_only,,,2,1,ceil,saturate,98.54,4
mem_only,,,2,1,ceil,wrap,8.71,4
mem_only,,,2,1,trunc,saturate,98.38,4
mem_only,,,2,1,trunc,wrap,9.88,4
mem_only,,,2,2,nearest,saturate,98.61,5
mem_only,,,2,2,nearest,wrap,9.2,5
mem_only,,,2,2,stochastic,saturate,98.58,5
mem_only,,,2,2,stochastic,wrap,9.62,5
mem_only,,,2,2,floor,saturate,98.5,5
mem_only,,,2,2,floor,wrap,9.24,5
mem_only,,,2,2,ceil,saturate,98.52,5
mem_only,,,2,2,ceil,wrap,9.48,5
mem_only,,,2,2,trunc,saturate,98.58,5
mem_only,,,2,2,trunc,wrap,9.75,5
mem_only,,,2,3,nearest,saturate,98.52,6
mem_only,,,2,3,nearest,wrap,9.32,6
mem_only,,,2,3,stochastic,saturate,98.55,6
mem_only,,,2,3,stochastic,wrap,9.55,6
mem_only,,,2,3,floor,saturate,98.61,6
mem_only,,,2,3,floor,wrap,9.46,6
mem_only,,,2,3,ceil,saturate,98.42,6
mem_only,,,2,3,ceil,wrap,9.3,6
mem_only,,,2,3,trunc,saturate,98.48,6
mem_only,,,2,3,trunc,wrap,9.44,6
mem_only,,,3,0,nearest,saturate,98.52,4
mem_only,,,3,0,nearest,wrap,73.44,4
mem_only,,,3,0,stochastic,saturate,98.58,4
mem_only,,,3,0,stochastic,wrap,61.45,4
mem_only,,,3,0,floor,saturate,98.29,4
mem_only,,,3,0,floor,wrap,59.63,4
