experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,1.0,6.0,ceil,saturate,98.51,8
mem_only,,,1.0,6.0,ceil,wrap,9.99,8
mem_only,,,1.0,6.0,trunc,saturate,98.54,8
mem_only,,,1.0,6.0,trunc,wrap,9.39,8
mem_only,,,1.0,7.0,nearest,saturate,98.62,9
mem_only,,,1.0,7.0,nearest,wrap,9.71,9
mem_only,,,1.0,7.0,stochastic,saturate,98.47,9
mem_only,,,1.0,7.0,stochastic,wrap,10.02,9
mem_only,,,1.0,7.0,floor,saturate,98.52,9
mem_only,,,1.0,7.0,floor,wrap,9.97,9
mem_only,,,1.0,7.0,ceil,saturate,98.54,9
mem_only,,,1.0,7.0,ceil,wrap,10.1,9
mem_only,,,1.0,7.0,trunc,saturate,98.57,9
mem_only,,,1.0,7.0,trunc,wrap,10.12,9
mem_only,,,1.0,8.0,nearest,saturate,98.53,10
mem_only,,,1.0,8.0,nearest,wrap,10.35,10
mem_only,,,1.0,8.0,stochastic,saturate,98.5,10
mem_only,,,1.0,8.0,stochastic,wrap,10.37,10
mem_only,,,1.0,8.0,floor,saturate,98.55,10
mem_only,,,1.0,8.0,floor,wrap,10.0,10
mem_only,,,1.0,8.0,ceil,saturate,98.48,10
mem_only,,,1.0,8.0,ceil,wrap,10.21,10
mem_only,,,1.0,8.0,trunc,saturate,98.53,10
mem_only,,,1.0,8.0,trunc,wrap,9.46,10
mem_only,,,2.0,0.0,nearest,saturate,98.45,3
mem_only,,,2.0,0.0,nearest,wrap,8.73,3
mem_only,,,2.0,0.0,stochastic,saturate,98.62,3
mem_only,,,2.0,0.0,stochastic,wrap,9.11,3
mem_only,,,2.0,0.0,floor,saturate,98.35,3
mem_only,,,2.0,0.0,floor,wrap,9.2,3
mem_only,,,2.0,0.0,ceil,saturate,98.18,3
mem_only,,,2.0,0.0,ceil,wrap,7.95,3
mem_only,,,2.0,0.0,trunc,saturate,98.35,3
mem_only,,,2.0,0.0,trunc,wrap,12.16,3
mem_only,,,2.0,1.0,nearest,saturate,98.58,4
mem_only,,,2.0,1.0,nearest,wrap,9.52,4
mem_only,,,2.0,1.0,stochastic,saturate,98.6,4
mem_only,,,2.0,1.0,stochastic,wrap,9.41,4
mem_only,,,2.0,1.0,floor,saturate,98.41,4
mem_only,,,2.0,1.0,floor,wrap,9.23,4
mem_only,,,2.0,1.0,ceil,saturate,98.49,4
mem_only,,,2.0,1.0,ceil,wrap,8.61,4
mem_only,,,2.0,1.0,trunc,saturate,98.36,4
mem_only,,,2.0,1.0,trunc,wrap,10.4,4
mem_only,,,2.0,2.0,nearest,saturate,98.6,5
mem_only,,,2.0,2.0,nearest,wrap,9.71,5
mem_only,,,2.0,2.0,stochastic,saturate,98.55,5
mem_only,,,2.0,2.0,stochastic,wrap,9.54,5
mem_only,,,2.0,2.0,floor,saturate,98.59,5
mem_only,,,2.0,2.0,floor,wrap,9.27,5
mem_only,,,2.0,2.0,ceil,saturate,98.55,5
mem_only,,,2.0,2.0,ceil,wrap,9.27,5
mem_only,,,2.0,2.0,trunc,saturate,98.51,5
mem_only,,,2.0,2.0,trunc,wrap,9.56,5
mem_only,,,2.0,3.0,nearest,saturate,98.48,6
mem_only,,,2.0,3.0,nearest,wrap,9.37,6
mem_only,,,2.0,3.0,stochastic,saturate,98.58,6
mem_only,,,2.0,3.0,stochastic,wrap,9.31,6
mem_only,,,2.0,3.0,floor,saturate,98.59,6
mem_only,,,2.0,3.0,floor,wrap,9.41,6
mem_only,,,2.0,3.0,ceil,saturate,98.52,6
mem_only,,,2.0,3.0,ceil,wrap,9.39,6
mem_only,,,2.0,3.0,trunc,saturate,98.47,6
mem_only,,,2.0,3.0,trunc,wrap,9.64,6
mem_only,,,2.0,4.0,nearest,saturate,98.53,7
mem_only,,,2.0,4.0,nearest,wrap,9.14,7
mem_only,,,2.0,4.0,stochastic,saturate,98.52,7
mem_only,,,2.0,4.0,stochastic,wrap,9.5,7
mem_only,,,2.0,4.0,floor,saturate,98.51,7
mem_only,,,2.0,4.0,floor,wrap,9.36,7
mem_only,,,2.0,4.0,ceil,saturate,98.51,7
mem_only,,,2.0,4.0,ceil,wrap,9.32,7
mem_only,,,2.0,4.0,trunc,saturate,98.54,7
mem_only,,,2.0,4.0,trunc,wrap,9.83,7
mem_only,,,2.0,5.0,nearest,saturate,98.5,8
mem_only,,,2.0,5.0,nearest,wrap,9.22,8
mem_only,,,2.0,5.0,stochastic,saturate,98.57,8
mem_only,,,2.0,5.0,stochastic,wrap,9.61,8
mem_only,,,2.0,5.0,floor,saturate,98.56,8
mem_only,,,2.0,5.0,floor,wrap,9.12,8
mem_only,,,2.0,5.0,ceil,saturate,98.49,8
mem_only,,,2.0,5.0,ceil,wrap,9.12,8
mem_only,,,2.0,5.0,trunc,saturate,98.52,8
mem_only,,,2.0,5.0,trunc,wrap,8.91,8
mem_only,,,2.0,6.0,nearest,saturate,98.48,9
mem_only,,,2.0,6.0,nearest,wrap,9.24,9
mem_only,,,2.0,6.0,stochastic,saturate,98.59,9
mem_only,,,2.0,6.0,stochastic,wrap,9.34,9
mem_only,,,2.0,6.0,floor,saturate,98.5,9
mem_only,,,2.0,6.0,floor,wrap,9.13,9
mem_only,,,2.0,6.0,ceil,saturate,98.54,9
mem_only,,,2.0,6.0,ceil,wrap,9.28,9
mem_only,,,2.0,6.0,trunc,saturate,98.57,9
mem_only,,,2.0,6.0,trunc,wrap,9.02,9
mem_only,,,2.0,7.0,nearest,saturate,98.5,10
mem_only,,,2.0,7.0,nearest,wrap,8.91,10
mem_only,,,2.0,7.0,stochastic,saturate,98.46,10
mem_only,,,2.0,7.0,stochastic,wrap,9.0,10
mem_only,,,2.0,7.0,floor,saturate,98.54,10
mem_only,,,2.0,7.0,floor,wrap,8.84,10
mem_only,,,2.0,7.0,ceil,saturate,98.59,10
mem_only,,,2.0,7.0,ceil,wrap,9.59,10
mem_only,,,2.0,7.0,trunc,saturate,98.47,10
mem_only,,,2.0,7.0,trunc,wrap,9.13,10
mem_only,,,2.0,8.0,nearest,saturate,98.54,11
mem_only,,,2.0,8.0,nearest,wrap,9.29,11
mem_only,,,2.0,8.0,stochastic,saturate,98.6,11
mem_only,,,2.0,8.0,stochastic,wrap,8.93,11
mem_only,,,2.0,8.0,floor,saturate,98.52,11
mem_only,,,2.0,8.0,floor,wrap,9.55,11
mem_only,,,2.0,8.0,ceil,saturate,98.49,11
mem_only,,,2.0,8.0,ceil,wrap,9.26,11
mem_only,,,2.0,8.0,trunc,saturate,98.44,11
mem_only,,,2.0,8.0,trunc,wrap,8.78,11
mem_only,,,3.0,0.0,nearest,saturate,98.54,4
mem_only,,,3.0,0.0,nearest,wrap,73.04,4
mem_only,,,3.0,0.0,stochastic,saturate,98.6,4
mem_only,,,3.0,0.0,stochastic,wrap,61.2,4
mem_only,,,3.0,0.0,floor,saturate,98.23,4
mem_only,,,3.0,0.0,floor,wrap,59.85,4
mem_only,,,3.0,0.0,ceil,saturate,98.14,4
mem_only,,,3.0,0.0,ceil,wrap,75.69,4
mem_only,,,3.0,0.0,trunc,saturate,98.26,4
mem_only,,,3.0,0.0,trunc,wrap,80.47,4
mem_only,,,3.0,1.0,nearest,saturate,98.62,5
mem_only,,,3.0,1.0,nearest,wrap,68.37,5
mem_only,,,3.0,1.0,stochastic,saturate,98.53,5
mem_only,,,3.0,1.0,stochastic,wrap,62.63,5
mem_only,,,3.0,1.0,floor,saturate,98.4,5
mem_only,,,3.0,1.0,floor,wrap,60.59,5
mem_only,,,3.0,1.0,ceil,saturate,98.46,5
mem_only,,,3.0,1.0,ceil,wrap,73.54,5
mem_only,,,3.0,1.0,trunc,saturate,98.51,5
mem_only,,,3.0,1.0,trunc,wrap,72.08,5
mem_only,,,3.0,2.0,nearest,saturate,98.48,6
mem_only,,,3.0,2.0,nearest,wrap,65.68,6
mem_only,,,3.0,2.0,stochastic,saturate,98.55,6
mem_only,,,3.0,2.0,stochastic,wrap,63.09,6
mem_only,,,3.0,2.0,floor,saturate,98.5,6
mem_only,,,3.0,2.0,floor,wrap,62.41,6
mem_only,,,3.0,2.0,ceil,saturate,98.49,6
mem_only,,,3.0,2.0,ceil,wrap,67.92,6
mem_only,,,3.0,2.0,trunc,saturate,98.54,6
mem_only,,,3.0,2.0,trunc,wrap,68.55,6
mem_only,,,3.0,3.0,nearest,saturate,98.55,7
mem_only,,,3.0,3.0,nearest,wrap,64.65,7
mem_only,,,3.0,3.0,stochastic,saturate,98.56,7
mem_only,,,3.0,3.0,stochastic,wrap,62.71,7
mem_only,,,3.0,3.0,floor,saturate,98.51,7
mem_only,,,3.0,3.0,floor,wrap,62.87,7
mem_only,,,3.0,3.0,ceil,saturate,98.52,7
mem_only,,,3.0,3.0,ceil,wrap,65.92,7
mem_only,,,3.0,3.0,trunc,saturate,98.61,7
mem_only,,,3.0,3.0,trunc,wrap,65.92,7
mem_only,,,3.0,4.0,nearest,saturate,98.53,8
mem_only,,,3.0,4.0,nearest,wrap,63.5,8
mem_only,,,3.0,4.0,stochastic,saturate,98.53,8
mem_only,,,3.0,4.0,stochastic,wrap,62.84,8
mem_only,,,3.0,4.0,floor,saturate,98.52,8
mem_only,,,3.0,4.0,floor,wrap,62.84,8
mem_only,,,3.0,4.0,ceil,saturate,98.52,8
mem_only,,,3.0,4.0,ceil,wrap,64.39,8
mem_only,,,3.0,4.0,trunc,saturate,98.5,8
mem_only,,,3.0,4.0,trunc,wrap,64.22,8
mem_only,,,3.0,5.0,nearest,saturate,98.57,9
mem_only,,,3.0,5.0,nearest,wrap,63.06,9
